model,model_size,params,backend,threads,march,test,t_s
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,32,rv64gcv0p7,pp512,32.26 ± 0.88
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,32,rv64gcv0p7,tg128,4.46 ± 0.01
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,32,rv64gc,pp512,22.03 ± 0.65
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,32,rv64gc,tg128,4.41 ± 0.00
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,rv64gcv0p7,pp512,30.12 ± 0.09
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,rv64gcv0p7,tg128,2.45 ± 0.00
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,rv64gc,pp512,15.96 ± 0.10
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,rv64gc,tg128,2.47 ± 0.00
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,48,rv64gcv0p7,pp512,10.04 ± 0.20
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,48,rv64gcv0p7,tg128,6.40 ± 0.04
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,48,rv64gc,pp512,9.47 ± 0.17
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,48,rv64gc,tg128,6.74 ± 0.04
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,64,rv64gcv0p7,pp512,6.88 ± 0.17
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,64,rv64gcv0p7,tg128,5.95 ± 0.51
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,64,rv64gc,pp512,6.21 ± 0.16
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,64,rv64gc,tg128,6.50 ± 0.13
llama 8B Q4_K - Medium,4.58 GiB,8.03 B,BLAS,16,rv64gcv0p7,pp512,6.33 ± 0.04
llama 8B Q4_K - Medium,4.58 GiB,8.03 B,BLAS,16,rv64gcv0p7,tg128,0.52 ± 0.00
llama 8B Q4_K - Medium,4.58 GiB,8.03 B,BLAS,16,rv64gc,pp512,3.38 ± 0.02
llama 8B Q4_K - Medium,4.58 GiB,8.03 B,BLAS,16,rv64gc,tg128,0.54 ± 0.00
qwen2 1.5B Q2_K_L - Medium,764.49 MiB,1.78 B,BLAS,32,rv64gcv0p7,pp512,31.39 ± 0.83
qwen2 1.5B Q2_K_L - Medium,764.49 MiB,1.78 B,BLAS,32,rv64gcv0p7,tg128,3.83 ± 0.01
qwen2 1.5B Q2_K_L - Medium,764.49 MiB,1.78 B,BLAS,32,rv64gc,pp512,21.12 ± 0.73
qwen2 1.5B Q2_K_L - Medium,764.49 MiB,1.78 B,BLAS,32,rv64gc,tg128,4.66 ± 0.01
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_avx2,pp512,120.30 ± 2.69
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_avx2,tg128,13.80 ± 0.85
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_avx,pp512,118.76 ± 3.89
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_avx,tg128,13.84 ± 0.55
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_sse3,pp512,112.91 ± 10.44
qwen2 1.5B Q4_K - Medium,1.04 GiB,1.78 B,BLAS,16,x86_64_sse3,tg128,14.17 ± 1.20